company_id,bloomberg_id,company_name,country_of_domicile,ticker,corporate_bond_ticker,figi,isin,cusip,sedol1,asset_type,security_icb_subsector,security_bics_subgroup,security_bclass4,security_mapped_sector,cfi_code,security_type,maturity_date,issue_date,amount_issued,amount_out,coupon_value,par_price,par_amount,current_face_amount,accrued_interest,security_amount_out_native,unit_share_price,position_market,market_value,current_shares_outstanding,current_shares_outstanding_all_classes,free_float_percent,free_float_shares,exchange_rate_usd,moody_rating,s_and_p_rating,fitch_rating,financial_timestamp
,,,US,G2SF 3.5 8/12,G2SF,BBG001YF9M99,US21H0326882,21H032688,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287.473,,3.5,,3940287473,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 9/12,G2SF,BBG0021PMB45,US21H0326965,21H032696,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287,,3.5,,3940287473,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4.5 10/12,G2SF,BBG0024VXH08,US21H0426A28,21H0426A2,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994.1,50821206.36,4.5,,86532994103,,,50821206.36,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3 10/12,G2SF,BBG0024VXYJ1,US21H0306A72,21H0306A7,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,96934180,121633827,3,,96934179507,,,121633827,,1,,,,,,1,,,,2019Q4
,,,US,FNCL 4 10/12,FNCL,BBG0024VY790,US01F0406A02,01F0406A0,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,37969869,24172296,4,,37969868784,,,24172296,,1,,,,,,1,,,,2019Q4
,,,US,FNCT 3 11/12,FNCT,BBG0027JGSY0,US01F0305B03,01F0305B0,,Bonds,,UMBS Single Family 20yr,,Other,,TBAs,,,106040667,,3,,106040667414,,,,,1,,,,,,1,,,,2019Q4
,,,US,FNCT 3.5 11/12,FNCT,BBG0027JGSZ9,US01F0325B66,01F0325B6,,Bonds,,UMBS Single Family 20yr,,Other,,TBAs,,,84867095.29,,3.5,,84867095295,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 11/12,G2SF,BBG0027JGZZ3,US21H0326B10,21H0326B1,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287,2993321,3.5,,3940287473,,,2993321,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 1/13,G2SF,BBG002CX67M3,US21H0326130,21H032613,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287,2993321,3.5,103.154,3940287473,1,,2993321,103.094,1,1.03094,,,,,1,,,,2019Q4
,,,US,G2SF 4 1/13,G2SF,BBG002CX67N2,US21H0406163,21H040616,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857,8567362,4,103.641,13163857348,1,,8567362,103.618,1,1.03618,,,,,1,,,,2019Q4
,,,US,FNCL 4 2/13,FNCL,BBG002GPKZR3,US01F0406284,01F040628,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,37969868.78,24172296.5,4,104.367,37969868784,1,,24172296.5,104.146,1,1.04146,,,,,1,,,,2019Q4
,,,US,FGLMC 4 2/13,FGLMC,BBG002GPLWW3,US02R0406238,02R040623,,Bonds,,FGLMC Single Family 30yr,,Other,,TBAs,,,7215338,4369097,4,104.344,7215337694,1,,4369097,104.21,1,1.0421,,,,,1,,,,2019Q4
,,,US,FNCL 3.5 3/13,FNCL,BBG002Q5KXP3,US01F0326334,01F032633,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,4118667.271,2853918.749,3.5,102.963,4118667271,1,,2853918.749,102.922,1,1.02922,,,,,1,,,,2019Q4
,,,US,FNCL 3.5 6/13,FNCL,BBG0032YZ347,US01F0326664,01F032666,,Bonds,,FNMA Single Family 30yr,,Other,,TBAs,,,4118667,2853919,3.5,,4118667271,,,2853919,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4 7/13,G2SF,BBG00385BJM5,US21H0406734,21H040673,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857,8567362,4,,13163857348,,,8567362,,1,,,,,,1,,,,2019Q4
,,,US,FNCL 4 8/13,FNCL,BBG003947GT1,US01F0406854,01F040685,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,37969869,24172296,4,,37969868784,,,24172296,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3 8/13,G2SF,BBG003947QR1,US21H0306827,21H030682,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,72710074.94,,3,,72710074942,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4.5 9/13,G2SF,BBG003BYK655,US21H0426955,21H042695,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994,,4.5,,86532994103,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 10/13,G2SF,BBG003G0TG99,US21H0326A37,21H0326A3,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287,2993321,3.5,,3940287473,,,2993321,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4 11/13,G2SF,BBG003LYDDC9,US21H0406B47,21H0406B4,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857.35,,4,,13163857348,,,,,1,,,,,,1,,,,2019Q4
