investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,valid_input,direct_holding,security_mapped_sector,financial_sector,sectors_with_assets,has_ald_in_fin_sector,flag
Test,auto_eq_cb_full,BR211518,US110394AE39,29626469,Bristow Group Inc,Bonds,TRUE,TRUE,Other,Other,Aviation,FALSE,Included in analysis
Test,auto_eq_cb_full,BR110704,US842400GD91,1380020,Southern Cal Edison,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR70031,US032511BG14,2724620,Anadarko Petroleum Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Coal + Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR144798,US131347CF14,9450000,Calpine Corp,Bonds,TRUE,TRUE,Other,Other,Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR508761,US69362BAY83,5214405,Pseg Power Llc,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR443430,US674599CG82,2071100,Occidental Petroleum Cor,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR579280,US880779AZ60,799872,Terex Corp,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR615299,US341081FH55,210018,Florida Power & Light Co,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR166582,US87305NAW83,4019810,NA,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR240590,US233851CB85,5116695,Daimler Finance Na Llc,Bonds,TRUE,TRUE,Automotive,Automotive,Automotive + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR224896,US21079RAA05,1294606,Contl Airlines 2007-1,Bonds,TRUE,TRUE,Aviation,Aviation,Aviation + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR50142,US125896BK56,271783,Cms Energy Corp,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR658298,US00130HBU86,765440,Aes Corp/The,Bonds,TRUE,TRUE,Power,Power,Coal + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR81681,US037411AW56,10113463,Apache Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas,TRUE,Included in analysis
Test,auto_eq_cb_full,BR164728,XS0835676353,534080,Ntpc Ltd,Bonds,TRUE,TRUE,Power,Power,Coal + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR311191,US341099CH09,17150881,Duke Energy Florida Llc,Bonds,TRUE,TRUE,Power,Power,Aviation + Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR483061,US29250NAL91,1239076,Enbridge Inc,Bonds,TRUE,TRUE,Other,Other,Aviation + Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR546480,US842400FW81,10520440,Southern Cal Edison,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR21310,US78412FAP99,3075000,Sesi Llc,Bonds,TRUE,TRUE,Other,Other,Aviation + Oil&Gas,FALSE,Included in analysis
