Co. Corp TKR,Total,Utilities,Supranationals,Government Development Banks,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Metals & Mining,Exploration & Production,Pipeline,Integrated Oils,Airlines,Coal Operations,Oil & Gas Services & Equipment,Renewable Energy,Refining & Marketing,Winding Up Agencies,Government Agencies,Government Regional,Sovereigns,Government Local
PEMEX,77482675630,,,,,,,,,,,77482675630,,,,,,,,,,
PELIND,73860700,,,,73860700,,,,,,,,,,,,,,,,,
PELEGI,0,,,,,,,,0,,,,,,,,,,,,,
PEIX,55000000,,,,,,,,,,,,,,,55000000,,,,,,
PEGI,575000000,,,,,575000000,,,,,,,,,,,,,,,,
PEG,12414006000,12414006000,,,,,,,,,,,,,,,,,,,,
PEDELC,313125000,313125000,,,,,,,,,,,,,,,,,,,,
PEBBLE,752002539,,,,,,,,,,,,,,,752002539,,,,,,
PDVSA,27919890000,,,,,,,,,,,27919890000,,,,,,,,,,
PDSUR,34800000,,,,34800000,,,,,,,,,,,,,,,,,
PDQMSA,0,,,,,,,0,,,,,,,,,,,,,,
PDNAU,150000000,,,,,,,,150000000,,,,,,,,,,,,,
PDLLN,650000000,,,,,,,,650000000,,,,,,,,,,,,,
PDLCN,25461504,,,,,,,,25461504,,,,,,,,,,,,,
PDH,0,,,,,,,0,,,,,,,,,,,,,,
PDEL,70000000,,,,,,,,,,,,,,,,70000000,,,,,
PDCN,1398625000,,,,,,,,,,,,,,1398625000,,,,,,,
PDCE,1200000000,,,,,,,,,1200000000,,,,,,,,,,,,
PDACRP,4042397340,,,,4042397340,,,,,,,,,,,,,,,,,
PCXPW,20610940,,,,,,,20610940,,,,,,,,,,,,,,
PCRPW,78616014,,,,,,,78616014,,,,,,,,,,,,,,
PCORPM,709558180,,,,,,,,,,,,,,,,709558180,,,,,
PCN,75000000,,,,,,,,75000000,,,,,,,,,,,,,
PCG,17975000000,17975000000,,,,,,,,,,,,,,,,,,,,
PCAR,6006437100,,,,6006437100,,,,,,,,,,,,,,,,,
PBFX,525000000,,,,,,,,,,525000000,,,,,,,,,,,
PBFENE,1225000000,,,,,,,,,,,,,,,,1225000000,,,,,
PAZOIL,1686017263,,,,,,,,,,,,,,,,1686017263,,,,,
PATRBZ,34112772,34112772,,,,,,,,,,,,,,,,,,,,
PATCA,0,,,,,,,,,,,,,0,,,,,,,,
PATAKH,1642684,,,,,1642684,,,,,,,,,,,,,,,,
PASHAH,42640200,,,,42640200,,,,,,,,,,,,,,,,,
PASAU,108000000,,,,,,,,108000000,,,,,,,,,,,,,
PARUCO,0,,,,,,,,,,,,,,,0,,,,,,
PARSLY,2200000000,,,,,,,,,2200000000,,,,,,,,,,,,
PARRFN,300000000,,,,,,,,,300000000,,,,,,,,,,,,
PARR,115000000,,,,,,,,,,,,,,,,115000000,,,,,
PARPUB,701336318,701336318,,,,,,,,,,,,,,,,,,,,
PARKTO,0,,,,0,,,,,,,,,,,,,,,,,
PARABZ,12765671,12765671,,,,,,,,,,,,,,,,,,,,
PAPOGE,17256500,,,,,17256500,,,,,,,,,,,,,,,,
PANOCH,242289000,,,,,242289000,,,,,,,,,,,,,,,,
PANAME,585992395,,,,,,,,,585992395,,,,,,,,,,,,
PAMPAR,1250000000,1250000000,,,,,,,,,,,,,,,,,,,,
PAKCN,6633610,,,,,,,,,,,,,6633610,,,,,,,,
PAIRMK,3675608920,3675608920,,,,,,,,,,,,,,,,,,,,
PAH,2329446500,,,,,,,2329446500,,,,,,,,,,,,,,
PACTRE,261003326,,,,261003326,,,,,,,,,,,,,,,,,
PACRBZ,7403304,,,,7403304,,,,,,,,,,,,,,,,,
PACRA,75745200,,,,75745200,,,,,,,,,,,,,,,,,
PACDF,750000000,,,,,,,,,,,,,,750000000,,,,,,,
PACBAS,125000000,,,,125000000,,,,,,,,,,,,,,,,,
PAA,9800000000,,,,,,,,,,9800000000,,,,,,,,,,,
OXY,9838860000,,,,,,,,,9838860000,,,,,,,,,,,,
OXONIT,7852736,,,,,,,7852736,,,,,,,,,,,,,,
OVAKOA,380366900,,,,,,,,380366900,,,,,,,,,,,,,
OUTOK,555212975,,,,,,,,555212975,,,,,,,,,,,,,
OTTR,412000000,412000000,,,,,,,,,,,,,,,,,,,,
OTTMAC,341559664,,,,341559664,,,,,,,,,,,,,,,,,
OSXBBZ,340131851,,,,340131851,,,,,,,,,,,,,,,,,
OSUNSK,17868373,,,,,,,,,,,,,,,,,,,17868373,,
OSTFOL,134267700,134267700,,,,,,,,,,,,,,,,,,,,
OSPRAQ,628065000,628065000,,,,,,,,,,,,,,,,,,,,
OSLOSP,84396840,,,,84396840,,,,,,,,,,,,,,,,,
OSLENE,286541350,286541350,,,,,,,,,,,,,,,,,,,,
OSG,27108500,,,,27108500,,,,,,,,,,,,,,,,,
OSEDAS,46427675,46427675,,,,,,,,,,,,,,,,,,,,
OSBFC,1170315615,,,,,,,,,,,,,,,,,,,1170315615,,
OSAKAG,1964790250,1964790250,,,,,,,,,,,,,,,,,,,,
ORTCN,23138629,,,,,,,,23138629,,,,,,,,,,,,,
ORSTIN,10175477,,,,10175477,,,,,,,,,,,,,,,,,
ORSTED,6788249281,6788249281,,,,,,,,,,,,,,,,,,,,
ORNLLC,88339500,,,,,,,,,,,,,,,88339500,,,,,,
ORLIIT,1225763981,,,,,,,,,,,,,,,,1225763981,,,,,
ORKUVE,117577920,117577920,,,,,,,,,,,,,,,,,,,,
ORIG,0,,,,,,,,,,,,,,0,,,,,,,
ORGAU,5839863000,5839863000,,,,,,,,,,,,,,,,,,,,
ORESUN,0,,,,0,,,,,,,,,,,,,,,,,
ORESBE,933432643,933432643,,,,,,,,,,,,,,,,,,,,
ORENCA,0,,,,,,,0,,,,,,,,,,,,,,
ORELPL,15000000,,,,15000000,,,,,,,,,,,,,,,,,
ORDGAS,542249000,542249000,,,,,,,,,,,,,,,,,,,,
ORCN,147023544,,,,,,,,147023544,,,,,,,,,,,,,
