Old_INDUSTRY_SECTOR,Old_BICS Code,Old_INDUSTRY_GROUP,Old_BICS Code,Old_INDUSTRY_SUBGROUP,NEW_BICS Code,NEW_Industry Name,NEW_Level,NEW_BICS Code,NEW_Industry Name,NEW_Level,NEW_BICS Code
,,,353,Hazardous Waste Disposal,3713,Waste & Environment Services & Equipment,2,,,,
,,,354,Non-hazardous Waste Disp,3713,Waste & Environment Services & Equipment,2,,,,
,,,671,Alternative Waste Tech,3713,Waste & Environment Services & Equipment,2,,,,
,,,205,Recycling,3713,Waste & Environment Services & Equipment,2,,,,
,,,349,Asbestos Abatement,3713,Waste & Environment Services & Equipment,2,,,,
,,,355,Remediation Services,3713,Waste & Environment Services & Equipment,2,,,,
,20088,Miscellaneous Manufactur,223,Diversified Manufact Op,,,,,,,
,,,438,Firearms&Ammunition,3711,Aerospace & Defense,2,,,,
,,,697,Rubber/Plastic Products,3710,Manufactured Goods,2,,,,
,,,225,Filtration/Separat Prod,3713,Waste & Environment Services & Equipment,2,,,,
,,,643,Advanced Materials/Prd,3013,Chemicals,2,,,,
,,,224,Explosives,3013,Chemicals,2,,,,
,,,227,Photo Equipment&Supplies,3810,Hardware,2,,,,
,,,294,Miscellaneous Manufactur,,,,,,,
,20089,Packaging&Containers,229,Containers-Metal/Glass,3014,Containers & Packaging,2,,,,
,,,230,Containers-Paper/Plastic,3014,Containers & Packaging,2,,,,
Basic Materials,20010,Chemicals,698,Agricultural Chemicals,3013,Chemicals,2,,,,
,,,1,Chemicals-Diversified,3013,Chemicals,2,,,,
,,,340,Petrochemicals,3013,Chemicals,2,,,,
,,,662,Chemicals-Other,3013,Chemicals,2,,,,
,,,693,Industrial Gases,3013,Chemicals,2,,,,
,,,2,Chemicals-Fibers,3013,Chemicals,2,,,,
,,,3,Chemicals-Plastics,3013,Chemicals,2,,,,
,,,699,Rubber&Vinyl,3013,Chemicals,2,,,,
,,,4,Chemicals-Specialty,3013,Chemicals,2,,,,
,,,701,Coatings/Paint,3013,Chemicals,2,,,,
,20011,Forest Products&Paper,8,Forestry,3010,Forest & Paper Products Manufacturing,2,,,,
,,,9,Paper&Related Products,3010,Forest & Paper Products Manufacturing,2,,,,
,20012,Iron/Steel,10,Metal-Iron,3011,Metals & Mining,2,,,,
,,,11,Steel-Producers,3011,Metals & Mining,2,,,,
,,,12,Steel-Specialty,3011,Metals & Mining,2,,,,
,20013,Mining,16,Metal-Diversified,3011,Metals & Mining,2,,,,
,,,703,Non-Ferrous Metals,3011,Metals & Mining,2,,,,
,,,14,Metal-Aluminum,3011,Metals & Mining,2,,,,
,,,13,Metal-Copper,3011,Metals & Mining,2,,,,
,,,15,Precious Metals,3011,Metals & Mining,2,,,,
,,,301,Gold Mining,3011,Metals & Mining,2,,,,
,,,663,Platinum,3011,Metals & Mining,2,,,,
,,,291,Silver Mining,3011,Metals & Mining,2,,,,
,,,287,Diversified Minerals,3011,Metals & Mining,2,,,,
,,,276,Diamonds/Precious Stones,3011,Metals & Mining,2,,,,
,,,309,Mining Services,3011,Metals & Mining,2,,,,
,,,18,Quarrying,3012,Construction Materials Manufacturing,2,,,,
Technology,20107,Office/Business Equip,253,Office Automation&Equip,3810,Hardware,2,,,,
,20106,Computers,243,Computers-Integrated Sys,3810,Hardware,2,,,,
,,,668,Computers,3810,Hardware,2,,,,
,,,669,Computers-Other,3810,Hardware,2,,,,
,,,245,Computers-Memory Devices,3810,Hardware,2,,,,
,,,304,Computers-Voice Recogn,3810,Hardware,2,,,,
,,,250,Computers-Peripher Equip,3810,Hardware,2,,,,
,,,674,Optical Recognition Equi,3810,Hardware,2,,,,
,,,305,Virtual Reality Products,3812,Software & Services,2,,,,
,,,657,Electronic Design Automa,3812,Software & Services,2,,,,
,,,637,Computer Data Security,3812,Software & Services,2,,,,
,,,251,Computer Services,3812,Software & Services,2,,,,
,20108,Semiconductors,256,Electronic Compo-Semicon,3813,Semiconductors,2,,,,
,,,658,Semicon Compo-Intg Circu,3813,Semiconductors,2,,,,
,,,660,Semiconductor Equipment,3813,Semiconductors,2,,,,
,20109,Software,422,Applications Software,3812,Software & Services,2,,,,
,,,649,Electronic Forms,3812,Software & Services,2,,,,
,,,257,Computer Graphics,3812,Software & Services,2,,,,
,,,647,Computer Aided Design,3812,Software & Services,2,,,,
,,,644,Enterprise Software/Serv,3812,Software & Services,2,,,,
,,,424,Data Processing/Mgmt,3812,Software & Services,2,,,,
,,,651,Transactional Software,3812,Software & Services,2,,,,
,,,423,Communications Software,3812,Software & Services,2,,,,
,,,425,Educational Software,3812,Software & Services,2,,,,
,,,427,Medical Information Sys,3812,Software & Services,2,,,,
,,,426,Entertainment Software,3812,Software & Services,2,,,,
,,,648,Decision Support Softwar,3812,Software & Services,2,,,,
,,,650,Software Tools,3812,Software & Services,2,,,,
,,,258,Computer Software,3812,Software & Services,2,,,,
Utilities,20110,Electric,265,Electric-Integrated,3910,Utilities,2,,,,
,,,264,Electric-Generation,3911,Power Generation,2,,,,
,,,267,Independ Power Producer,3911,Power Generation,2,,,,
,,,266,Electric-Transmission,3910,Utilities,2,,,,
,,,263,Electric-Distribution,3910,Utilities,2,,,,
,20111,Gas,270,Gas-Transportation,3910,Utilities,2,,,,
,,,269,Gas-Distribution,3910,Utilities,2,,,,
,20112,Water,273,Water,3910,Utilities,2,,,,
