Old_INDUSTRY_SECTOR,Old_BICS Code,Old_INDUSTRY_GROUP,Old_BICS Code,Old_INDUSTRY_SUBGROUP,NEW_BICS Code,NEW_Industry Name,NEW_Level,NEW_BICS Code,NEW_Industry Name,NEW_Level,NEW_BICS Code
,,,290,Professional Sports,3227,Entertainment Resources,2,,,,
,20024,Food Service,53,Food-Catering,3228,Consumer Services,2,,,,
,20029,Lodging,326,Casino Hotels,3214,Casinos & Gaming,2,,,,
,,,43,Hotels&Motels,3216,Travel & Lodging,2,,,,
,20018,Airlines,20,Airlines,3213,Airlines,2,,,,
,20022,Distribution/Wholesale,51,Distribution/Wholesale,3229,Distributors - Consumer Discretionary,2,,,,
,,,661,Import/Export,3229,Distributors - Consumer Discretionary,2,,,,
,20031,Retail,346,Retail-Hair Salons,3228,Consumer Services,2,,,,
,,,56,Film Processing,3228,Consumer Services,2,,,,
,,,373,Retail-Photo Studio,3228,Consumer Services,2,,,,
,,,64,Retail-Restaurants,3215,Restaurants,2,,,,
,,,421,Retail-Pubs,3215,Restaurants,2,,,,
,,,54,Retail-Auto Parts,3212,Retail - Consumer Discretionary,2,,,,
,,,277,Retail-Automobile,3212,Retail - Consumer Discretionary,2,,,,
,,,59,Retail-Catalog Shopping,3212,Retail - Consumer Discretionary,2,,,,
,,,67,Retail-Mail Order,3212,Retail - Consumer Discretionary,2,,,,
,,,57,Multilevel Dir Selling,3212,Retail - Consumer Discretionary,2,,,,
,,,364,Retail-Computer Equip,3212,Retail - Consumer Discretionary,2,,,,
,,,60,Retail-Consumer Electron,3212,Retail - Consumer Discretionary,2,,,,
,,,36,Retail-Appliances,3212,Retail - Consumer Discretionary,2,,,,
,,,68,Retail-Major Dept Store,3231,Department Stores,2,,,,
,,,70,Retail-Regnl Dept Store,3231,Department Stores,2,,,,
,,,55,Retail-Building Products,3212,Retail - Consumer Discretionary,2,,,,
,,,365,Retail-Cutlery&Cookware,3212,Retail - Consumer Discretionary,2,,,,
,,,362,Retail-Bedding,3212,Retail - Consumer Discretionary,2,,,,
,,,65,Retail-Home Furnishings,3212,Retail - Consumer Discretionary,2,,,,
,,,278,Retail-Gardening Prod,3212,Retail - Consumer Discretionary,2,,,,
,,,367,Retail-Floor Coverings,3212,Retail - Consumer Discretionary,2,,,,
,,,66,Retail-Jewelry,3212,Retail - Consumer Discretionary,2,,,,
,,,58,Retail-Apparel/Shoe,3212,Retail - Consumer Discretionary,2,,,,
,,,375,Retail-Sporting Goods,3212,Retail - Consumer Discretionary,2,,,,
,,,275,Retail-Leisure Products,3212,Retail - Consumer Discretionary,2,,,,
,,,69,Retail-Misc/Diversified,3212,Retail - Consumer Discretionary,2,,,,
,,,370,Retail-Pawn Shops,3212,Retail - Consumer Discretionary,2,,,,
,,,366,Retail-Fabric Store,3212,Retail - Consumer Discretionary,2,,,,
,,,374,Retail-Science&Nature,3212,Retail - Consumer Discretionary,2,,,,
,,,361,Retail-Arts&Crafts,3212,Retail - Consumer Discretionary,2,,,,
,,,363,Retail-Bookstore,3212,Retail - Consumer Discretionary,2,,,,
,,,371,Retail-Perfume&Cosmetics,3212,Retail - Consumer Discretionary,2,,,,
,,,381,Retail-Vitamins/Nutr Sup,3212,Retail - Consumer Discretionary,2,,,,
,,,377,Retail-Toy Store,3212,Retail - Consumer Discretionary,2,,,,
,,,379,Retail-Video Rental,3212,Retail - Consumer Discretionary,2,,,,
,,,368,Retail-Music Store,3212,Retail - Consumer Discretionary,2,,,,
,,,369,Retail-Office Supplies,3212,Retail - Consumer Discretionary,2,,,,
,,,376,Retail-Sunglasses,3212,Retail - Consumer Discretionary,2,,,,
,,,380,Retail-Vision Serv Cntr,3212,Retail - Consumer Discretionary,2,,,,
,,,372,Retail-Pet Food&Supplies,3212,Retail - Consumer Discretionary,2,,,,
,,,183,Retail-Hypermarkets,3312,Supermarkets & Pharmacies,2,,,,
,,,61,Retail-Convenience Store,3312,Supermarkets & Pharmacies,2,,,,
,,,62,Retail-Discount,3315,Mass Merchants,2,,,,
,,,378,Retail-Variety Store,3315,Mass Merchants,2,,,,
,,,63,Retail-Drug Store,3312,Supermarkets & Pharmacies,2,,,,
,,,279,Retail-Petroleum Prod,3414,Refining & Marketing,2,,,,
,,,437,Retail-Propane Distrib,3910,Utilities,2,,,,
,20032,Storage/Warehousing,72,Storage/Warehousing,3712,Transportation & Logistics,2,,,,
"Consumer, Non-cyclical",20035,Agriculture,289,Bloodstock Services,3314,Food & Beverage,2,,,,
,,,79,Pastoral&Agricultural,3314,Food & Beverage,2,,,,
,,,78,Agricultural Operations,3314,Food & Beverage,2,,,,
,,,132,Tobacco,3310,Tobacco,2,,,,
,20040,Food,103,Food-Baking,3314,Food & Beverage,2,,,,
,,,108,Food-Flour&Grain,3314,Food & Beverage,2,,,,
,,,106,Food-Dairy Products,3314,Food & Beverage,2,,,,
,,,104,Food-Canned,3314,Food & Beverage,2,,,,
,,,109,Food-Meat Products,3314,Food & Beverage,2,,,,
,,,105,Food-Confectionery,3314,Food & Beverage,2,,,,
,,,110,Food-Misc/Diversified,3314,Food & Beverage,2,,,,
,,,113,Food-Wholesale/Distrib,3311,Retail - Consumer Staples,2,,,,
,,,102,Fisheries,3314,Food & Beverage,2,,,,
,,,114,Poultry,3314,Food & Beverage,2,,,,
,,,115,Sugar,3314,Food & Beverage,2,,,,
,,,111,Food-Retail,3312,Supermarkets & Pharmacies,2,,,,
,20036,Beverages,167,Beverages-Wine/Spirits,3314,Food & Beverage,2,,,,
,,,80,Brewery,3314,Food & Beverage,2,,,,
,,,81,Beverages-Non-alcoholic,3314,Food & Beverage,2,,,,
,,,82,Coffee,3314,Food & Beverage,2,,,,
,,,339,Tea,3314,Food & Beverage,2,,,,
,20039,Cosmetics/Personal Care,100,Cosmetics&Toiletries,3313,Consumer Products,2,,,,
,20043,Household Products/Wares,255,Office Supplies&Forms,3225,Home & Office Products Manufacturing,2,,,,
,,,125,Soap&Cleaning Prepar,3313,Consumer Products,2,,,,
,,,124,Consumer Products-Misc,3313,Consumer Products,2,,,,
,20041,Healthcare-Products,430,Feminine Health Care Prd,3313,Consumer Products,2,,,,
,,,117,Medical Products,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,122,Optical Supplies,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,396,Medical Steriliz Product,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,388,Disposable Medical Prod,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,390,Healthcare Safety Device,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,401,Respiratory Products,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,385,Diagnostic Equipment,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,386,Diagnostic Kits,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,389,Drug Detection Systems,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,384,Breast Cancer Detection,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,391,Heart Monitors,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,392,Hospital Beds/Equipment,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,395,Medical Laser Systems,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,399,Patient Monitoring Equip,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,129,Dental Supplies&Equip,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,403,X-Ray Equipment,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,397,MRI Equipment,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,402,Ultra Sound Imaging Sys,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,393,Medical Imaging Systems,3611,Medical Equipment & Devices Manufacturing,2,,,,
,,,116,Medical Instruments,3611,Medical Equipment & Devices Manufacturing,2,,,,
,20042,Healthcare-Services,400,Phys Therapy/Rehab Cntrs,3612,Health Care Facilities & Services,2,,,,
,,,119,Medical-Hospitals,3612,Health Care Facilities & Services,2,,,,
,,,120,Medical-Nursing Homes,3612,Health Care Facilities & Services,2,,,,
,,,123,Retirement/Aged Care,3612,Health Care Facilities & Services,2,,,,
,,,387,Dialysis Centers,3612,Health Care Facilities & Services,2,,,,
,,,653,Phys Practice Mgmnt,3612,Health Care Facilities & Services,2,,,,
,,,394,Medical Labs&Testing Srv,3612,Health Care Facilities & Services,2,,,,
,,,398,MRI/Medical Diag Imaging,3612,Health Care Facilities & Services,2,,,,
,,,121,Medical-Outptnt/Home Med,3612,Health Care Facilities & Services,2,,,,
,,,383,Blood Collection Banking,3612,Health Care Facilities & Services,2,,,,
,,,118,Medical-HMO,3615,Managed Care,2,,,,
,20037,Biotechnology,343,Agricultural Biotech,3013,Chemicals,2,,,,
,,,252,Medical-Biomedical/Gene,3610,Biotechnology,2,,,,
,20044,Pharmaceuticals,126,Medical-Drugs,3613,Pharmaceuticals,2,,,,
,,,406,Therapeutics,3613,Pharmaceuticals,2,,,,
,,,404,Drug Delivery Systems,3613,Pharmaceuticals,2,,,,
,,,130,Veterinary Diagnostics,3613,Pharmaceuticals,2,,,,
,,,131,Veterinary Products,3613,Pharmaceuticals,2,,,,
,,,407,Vitamins&Nutrition Prod,3613,Pharmaceuticals,2,,,,
,,,408,Wound/Burn & Skin Care,3613,Pharmaceuticals,2,,,,
,,,127,Medical-Generic Drugs,3613,Pharmaceuticals,2,,,,
,,,128,Medical-Whsle Drug Dist,3612,Health Care Facilities & Services,2,,,,
,,,405,Pharmacy Services,3612,Health Care Facilities & Services,2,,,,
,20038,Commercial Services,83,Building-Maint&Service,3228,Consumer Services,2,,,,
,,,46,Printing-Commercial,3228,Consumer Services,2,,,,
,,,296,Consulting Services,3228,Consumer Services,2,,,,
,,,88,Human Resources,3228,Consumer Services,2,,,,
,,,96,Security Services,3228,Consumer Services,2,,,,
,,,636,Private Corrections,3228,Consumer Services,2,,,,
,,,91,Protection-Safety,3228,Consumer Services,2,,,,
,,,84,Commercial Services,3228,Consumer Services,2,,,,
,,,288,Auction House/Art Dealer,3228,Consumer Services,2,,,,
,,,446,Interior Design/Architec,3228,Consumer Services,2,,,,
,,,85,Divers Oper/Commer Serv,,,,,,,
