investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,bics_sector,valid_input,direct_holding,financial_sector,sectors_with_assets,has_assets_in_fin_sector,flag
UNPRI,European Portfolio,39,AT0000831706,863151.3008293561,Wienerberger Ag,Equity,Materials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,40,AT0000837307,138992.10273286802,Zumtobel Group Ag,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,41,AT0000908504,160494.08875618802,Vienna Insurance Group Ag Wiener Versicherung Gruppe,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,42,AT0000937503,629891.43294264,Voestalpine Ag,Equity,Materials,TRUE,TRUE,Steel,Cement&Steel + Power,TRUE,Included in analysis
UNPRI,European Portfolio,43,AT0000946652,172133.678979768,Schoeller-Bleckmann Oilfield Equipment Ag,Equity,Energy,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,44,AT0000969985,63736.18490382001,At&S Austria Technologie & Systemtechnik Ag,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,45,AT0000A0E9W5,328743.771317808,S&T Ag,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,46,AT0000A12GN0,1868987.549083908,Vienna Insurance Grp Agw,Bonds,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,47,AT0000A18XM4,2760535.7303495402,Ams Ag,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,48,AT0000A21KS2,522784.47132912005,Immofinanz Ag,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,49,AT0000APOST4,209030.095073316,Oesterreichische Post Ag,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,50,AT0000BAWAG2,549098.314580244,Bawag Group Ag,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,51,AT000KAPSCH9,19404.483302160002,Kapsch Trafficcom Ag,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,52,AU0000005159,142718.01150750002,Jupiter Mines Ltd,Equity,Materials,TRUE,TRUE,Steel,NA,FALSE,Included in analysis
UNPRI,European Portfolio,53,AU0000009789,922845.401671512,Pendal Group Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,54,AU000000AAC9,147817.11295032,Australian Agricultural Co Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,55,AU000000ABC7,542855.4025402201,Adelaide Brighton Ltd,Equity,Materials,TRUE,TRUE,Cement,Cement&Steel + Shipping,TRUE,Included in analysis
UNPRI,European Portfolio,56,AU000000ABP9,584750.6945771041,Abacus Property Group,Others,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,57,AU000000AGL7,5518531.725877104,Agl Energy Ltd,Equity,Utilities,TRUE,TRUE,Power,Coal + Oil&Gas + Power,TRUE,Included in analysis
UNPRI,European Portfolio,58,AU000000AHG5,272341.61317004403,Automotive Holdings Group Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,59,AU000000ALL7,4434308.804500344,Aristocrat Leisure Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,60,AU000000ALQ6,1682617.7161671242,Als Ltd,Equity,Unclassifiable,TRUE,TRUE,Other,Aviation,FALSE,Included in analysis
UNPRI,European Portfolio,61,AU000000ALU8,1589854.3667581081,Altium Ltd,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,62,AU000000AMA8,174780.87206923202,Ama Group Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,63,AU000000AMP6,3239584.6868110443,Amp Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,64,AU000000ANN9,1471903.4194014482,Ansell Ltd,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,65,AU000000ANZ3,25575271.212900687,Australia & New Zealand Banking Group Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,67,AU000000APE3,594877.603035276,Ap Eagers Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,68,AU000000API4,204260.601200964,Australian Pharmaceutical Indu,Equity,Health Care,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,69,AU000000APT1,1878948.1038779882,Afterpay Touch Group Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,70,AU000000APX3,913885.0353671281,Appen Ltd,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,71,AU000000ARB5,479430.22666057205,Arb Corp Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,72,AU000000ASB3,378153.90931084804,Austal Ltd,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,73,AU000000AST5,1056354.033004776,Ausnet Services,Equity,Utilities,TRUE,TRUE,Power,Power,TRUE,Included in analysis
