company_name,corporate_bond_ticker,bloomberg_id,fin_sector_override
EREGLI,EREGLT,154565,Steel
SID NACIONAL,CSNABZ,158272,Steel
GERDAU-PREF,GGBRBZ,158720,Steel
MET GERDAU-PREF,GOAUBZ,158890,Steel
NOVOLIPETSK STEE,NLMKRU,162517,Steel
SEVERSTAL,CHMFRU,169726,Steel
JSW STEEL LTD,JSTLIN,170120,Steel
STEEL AUTHORITY,SAILIN,174388,Steel
VOESTALPINE AG,VOEAV,176620,Steel
XINYU IRON & S-A,XYIRON,193976,Steel
STEEL DYNAMICS,STLD,194694,Steel
HESTEEL CO LTD-A,TSSTEE,209748,Steel
XINXING DUCTIL-A,XINDUC,223164,Steel
ARCELORMITTAL,MTNA,225547,Steel
THYSSENKRUPP AG,TKAGR,815253,Steel
ANSHAN IRON & ST,ANGANG,825047,Steel
HUNAN VALIN ST-A,VALINS,852140,Steel
BAOSHAN IRON &-A,SBSG,905682,Steel
NANJING IRON-A,NISCH,1459344,Steel
A.C.N. 004 410 8,ARIAU,1480332,Steel
INNER MONGOLIA-A,INNMON,7243936,Steel
TAIYUAN IRON &,TAIYUA,7308630,Steel
BLUESCOPE STEEL,BSLAU,7738397,Steel
JFE HOLDINGS INC,JFEHLD,7847241,Steel
WUHAN IRON & STE,WUGANG,7908603,Steel
BAOTOU IRON AND,INNMON,8254983,Steel
CHINA ORIENTAL,CHOGRP,8646707,Steel
TERNIUM SA-ADR,TX,10106947,Steel
JIUQUAN IRON & S,JQIRON,10830028,Steel
METALLOINVEST HO,METINR,12437901,Steel
KUNMING IRON & S,KMIRON,17472361,Steel
ANSTEEL GROUP CO,ANGANG,24183116,Steel
EVRAZ,EVRAZ,28252126,Steel
NISSHIN STEEL CO,NISSTL,32548875,Steel
,VOTORA,,Steel
Saipem Spa,SPMIM,117919,Other
,LGCHM,7281855,Other
,EIM IN,174470,Other
,SCCO,154302,Other
,SCCO,1414503,Other
EMPRESAS PUBLICAS DE MEDELLIN,EEPPME,918008,Power
SIEMENS AG,,115746,Power
SCHLUMBERGER LTD,,101318,Oil&Gas
EATON CORP PLC,,100496,Power
NRG ENERGY INC,,8502156,Power
CITIC LTD,,116322,Power
INDUSTRIES QATAR QSC,,9121855,Cement
HYUNDAI GLOVIS CO LTD,,9300090,Shipping
SIEMENS GAMESA RENEWABLE ENERGY,,1725016,Power
CENTRICA PLC,,216204,Oil&Gas
GAIL INDIA LTD,,253334,Oil&Gas
YTL CORP BHD,,119147,Power
DIALOG GROUP BHD,,183745,Oil&Gas
DMCI HOLDINGS INC,,178126,Power
QATAR ELECTRICITY & WATER CO Q,,8131602,Power
ANGLO AMERICAN PLC,,833983,Coal
GLENCORE PLC,GLENLN,199455,Coal
