ISIN,MarketValue,Currency
FR0011179852,131754,EUR
FR0011180017,131662,EUR
FR0011181171,43074,EUR
FR0011182641,447770,EUR
FR0011213453,258025,EUR
FR0011215516,12963,EUR
FR0011223205,110698,EUR
FR0011225127,37698,EUR
FR0011225143,1091951,EUR
FR0011234921,14204,EUR
FR0011261924,443850,EUR
FR0011266527,334224,EUR
FR0011289230,55379,EUR
FR0011301480,39121,EUR
FR0011302793,4907,EUR
FR0011318658,743031,EUR
FR0011319227,415105,EUR
FR0011322668,12859,EUR
FR0011339746,108823,EUR
FR0011356997,296450,EUR
FR0011360478,141769,EUR
FR0011362151,12846,EUR
FR0011388339,983968,EUR
FR0011390921,443217,EUR
FR0011400571,19602,EUR
FR0011417591,671106,EUR
FR0011439785,20384,EUR
FR0011443985,10234,EUR
FR0011445527,315541,EUR
FR0011470764,261236,EUR
FR0011472943,54,EUR
FR0011508332,235563,EUR
FR0011509488,254380,EUR
FR0011527241,24894,EUR
FR0011536093,26159,EUR
FR0011553684,1086825,EUR
FR0011560333,205923,EUR
FR0011561000,67632,EUR
FR0011565738,15742,EUR
FR0011565985,36891,EUR
FR0011574540,272629,EUR
FR0011580588,2925857,EUR
FR0011585215,84199,EUR
FR0011600923,15749,EUR
FR0011625433,24928,EUR
FR0011686401,42590,EUR
FR0011689033,13924,EUR
FR0011689579,14312,EUR
FR0011694496,55010,EUR
FR0011697028,10221,EUR
FR0011798115,314580,EUR
FR0011832039,28331,EUR
FR0011842939,5276,EUR
FR0011896513,13598,EUR
FR0011911247,556134,EUR
FR0011921691,262522,EUR
FR0011921881,13027,EUR
FR0011951771,162828,EUR
FR0011965177,26609,EUR
FR0011991488,560438,EUR
FR0012146744,25984,EUR
FR0012146777,104837,EUR
FR0012146801,188195,EUR
FR0012173862,161536,EUR
FR0012188456,3058,EUR
FR0012199065,198381,EUR
FR0012222297,7602,EUR
FR0012283653,65402,EUR
FR0012299394,25695,EUR
FR0012317758,7683,EUR
FR0012329845,5009,EUR
FR0012348969,207327,EUR
FR0012432904,131191,EUR
FR0012444750,5194,EUR
FR0012448025,226676,EUR
FR0012452191,52306,EUR
FR0012467942,1143954,EUR
FR0012516417,50217,EUR
FR0012602753,51121,EUR
FR0012602761,50826,EUR
FR0012602779,170604,EUR
FR0012663169,373935,EUR
FR0012674661,12869,EUR
FR0012766889,52197,EUR
FR0012790327,50761,EUR
FR0012881878,810463,EUR
FR0012939882,21093,EUR
FR0012949923,21345,EUR
FR0012969129,561906,EUR
FR0013047446,256567,EUR
FR0013065372,210276,EUR
FR0013066388,2694,EUR
FR0013067196,5084,EUR
FR0013088424,25708,EUR
FR0013088432,234255,EUR
FR0013121753,92865,EUR
FR0013141074,673900,EUR
FR0013141488,990932,EUR
FR0013152899,49687,EUR
FR0013152907,129828,EUR
FR0013153707,6597,EUR
FR0013155009,5335,EUR
FR0013160959,1292966,EUR
FR0013162302,38058,EUR
FR0013170834,75351,EUR
FR0013176310,106342,EUR
FR0013179314,328037,EUR
FR0013181906,125249,EUR
FR0013182839,20376,EUR
FR0013182847,20473,EUR
FR0013183431,25338,EUR
FR0013183571,6524,EUR
FR0013185444,130210,EUR
FR0013195633,669573,EUR
FR0013198223,500984,EUR
FR0013201084,20171,EUR
FR0013201597,168735,EUR
FR0013201621,10011,EUR
FR0013201639,278321,EUR
FR0013203825,104030,EUR
FR0013204476,12422,EUR
FR0013213295,19614,EUR
FR0013213303,140897,EUR
FR0013213832,2565,EUR
FR0013215688,48638,EUR
FR0013216900,22700,EUR
FR0013216918,87534,EUR
FR0013216926,383033,EUR
FR0013218393,127510,EUR
FR0013221389,122366,EUR
FR0013222494,88133,EUR
FR0013230703,63632,EUR
FR0013230737,62734,EUR
FR0013231081,75769,EUR
FR0013231768,219828,EUR
FR0013232444,11727,EUR
FR0013233236,509750,EUR
FR0013233384,76344,EUR
FR0013234986,25995,EUR
FR0013235132,1289026,EUR
FR0013236312,71661,EUR
FR0013238045,2533,EUR
FR0013241536,50905,EUR
FR0013245263,7457,EUR
FR0013245859,61499,EUR
FR0013245867,130436,EUR
FR0013247202,50402,EUR
FR0013248465,12613,EUR
FR0013248507,66634,EUR
FR0013248523,605055,EUR
FR0013248713,2411,EUR
FR0013250693,577832,EUR
FR0013251329,24024,EUR
FR0013254273,101369,EUR
FR0013255866,650195,EUR
FR0013260361,632523,EUR
FR0013260379,65337,EUR
FR0013264421,123994,EUR
FR0013264439,200533,EUR
FR0013266350,79542,EUR
FR0013266368,51123,EUR
FR0013266434,1024141,EUR
FR0013266525,47355,EUR
FR0013281755,7175,EUR
FR0013283140,75430,EUR
FR0013284254,164478,EUR
FR0013284270,178220,EUR
FR0013286788,12419,EUR
FR0013292828,14305,EUR
FR0013298684,26864,EUR
FR0013299468,14312,EUR
FR0013299641,9359,EUR
FR0013310018,62255,EUR
FR0013310240,50541,EUR
FR0013310505,23326,EUR
FR0013312154,2248,EUR
FR0013318094,17465,EUR
FR0013318102,12469,EUR
FR0013321080,17766,EUR
FR0013321536,72610,EUR
FR0013322187,63699,EUR
FR0013322989,87447,EUR
FR0013323722,10129,EUR
FR0013323870,117832,EUR
FR0013324357,644622,EUR
FR0013324373,290703,EUR
FR0013327988,79848,EUR
FR0013329216,20534,EUR
FR0013329315,7334,EUR
FR0013330115,111429,EUR
FR0013330529,26308,EUR
FR0013330537,4815,EUR
FR0013331196,279646,EUR
FR0013332012,25610,EUR
FR0013332996,706762,EUR
FR0013333002,104746,EUR
FR0013334695,49251,EUR
FR0013336229,51903,EUR
FR0013344215,56593,EUR
FR0013345485,228476,EUR
FR0013346822,88233,EUR
FR0013354297,5095,EUR
FR0013357852,105430,EUR
FR0013357860,141064,EUR
FR0013358116,113204,EUR
FR0013358124,76647,EUR
FR0013359239,692354,EUR
FR0013359254,114928,EUR
FR0013365293,157413,EUR
FR0013367174,47705,EUR
FR0013367638,258467,EUR
FR0013368164,124717,EUR
FR0013368172,75421,EUR
FR0013368206,150387,EUR
FR0013368545,159376,EUR
FR0013368602,10053,EUR
FR0013369493,84648,EUR
FR0013371549,115241,EUR
FR0013378445,10084,EUR
FR0013378460,92455,EUR
FR0013381704,12555,EUR
FR0013383346,100985,EUR
FR0013384567,20232,EUR
FR0013385473,38399,EUR
GB0009252882,27001,EUR
GB00B03MLX29,59326,EUR
HU0000090865,1696014,EUR
IE00BYYP0Q47,39860,EUR
IL0010824113,3413,EUR
IT0000062072,18479,EUR
IT0000072618,146593,EUR
IT0003132476,9797,EUR
IT0004547409,1191847,EUR
IT0004558794,746551,EUR
IT0004679368,56666,EUR
IT0004682305,493022,EUR
IT0004689433,305898,EUR
IT0004760341,401883,EUR
IT0004781412,179,EUR
IT0004839046,413218,EUR
IT0004852189,13067,EUR
IT0004887078,37147,EUR
IT0004889421,236878,EUR
IT0004988553,753976,EUR
IT0004992787,91380,EUR
IT0004992878,2870,EUR
IT0005067076,5135,EUR
IT0005120982,51856,EUR
IT0005153975,76537,EUR
IT0005156044,128038,EUR
IT0005174492,37915,EUR
IT0005212987,34971,EUR
IT0005216616,17864,EUR
IT0005216624,40988,EUR
IT0005239360,102216,EUR
IT0005246415,807980,EUR
IT0005259988,274547,EUR
IT0005277451,12547,EUR
IT0005283491,392199,EUR
IT0005315046,905910,EUR
IT0005316788,361715,EUR
IT0005321663,627539,EUR
IT0005339996,1134571,EUR
IT0005346579,106602,EUR
JE00B3DCF752,1100,EUR
LU0168102076,6561,EUR
LU0239954331,6194,EUR
LU0284491270,22313,EUR
LU0306176818,8324,EUR
LU0330863936,16687,EUR
LU0551560344,10876,EUR
LU0654020766,23041,EUR
LU0864935944,26741,EUR
LU1011671358,51584,EUR
LU1099737428,45687,EUR
LU1128908313,26260,EUR
LU1451582651,32316,EUR
LU1476578973,19072,EUR
LU1481511308,22996,EUR
LU1548986386,19013,EUR
LU1585449892,215662,EUR
LU1802292729,38893,EUR
LU1808705559,54682,EUR
LU1900229789,853,EUR
MEGRAWRA1PG7,364487,EUR
MKKJUB101010,0,EUR
NL0000009165,25961,EUR
NL0000009355,13319,EUR
NL0000009538,11687,EUR
NL0000122489,13148,EUR
NL0011821202,19022,EUR
NL0012483796,155525,EUR
NL0012483804,102038,EUR
NL0012483812,30979,EUR
NL0012483820,28836,EUR
NL0012483838,670950,EUR
NL0012483846,20083,EUR
NL0012483853,64755,EUR
NL0013088990,75377,EUR
PLRHNHP00375,77713,EUR
PLRHNHP00466,267582,EUR
PLRHNHP00540,165148,EUR
PTBIHBOM0009,128562,EUR
PTBSRBOE0021,53851,EUR
PTBSRIOE0024,25781,EUR
PTBSRJOM0023,742788,EUR
PTBSSIOM0015,25920,EUR
PTBSSLOM0002,2605,EUR
PTCG2YOE0001,398048,EUR
PTGALLOM0004,34094,EUR
PTIDQAOM0007,89354,EUR
QOXAM1027712,2906,EUR
QOXAM2007986,1555,EUR
QOXAM2007994,4086,EUR
QOXAM2024874,7203,EUR
QOXAM2079837,1688,EUR
QOXDB0860615,92498,EUR
QOXDB4190431,71012,EUR
QOXDB4409351,6714,EUR
QOXDB4426884,0,EUR
QOXDB4426892,0,EUR
QOXDB4488017,145749,EUR
QOXDBA035660,129382,EUR
QOXDBA036833,297964,EUR
QOXDBM013242,71012,EUR
QOXDX0001081,80895,EUR
QOXDXHE03Y76,58138,EUR
ROASASACNOR2,203,EUR
SE0010830950,7628,EUR
SE0010832071,11416,EUR
SI0021108590,1142852,EUR
SK1110001486,419395,EUR
SK1110001494,701050,EUR
SK1110004555,9437,EUR
SK1110006691,124008,EUR
SK1110009604,57678,EUR
SK4120005893,27396,EUR
SK4120008624,891786,EUR
SK4120008939,289847,EUR
SK4120010364,351999,EUR
SK4120010646,126679,EUR
SK4120010711,282543,EUR
SK4120010794,233183,EUR
SK4120011040,101675,EUR
SK4120011149,858544,EUR
SK4120012469,680318,EUR
SK4120012824,854747,EUR
SK4120013251,25205,EUR
SK4120014531,740554,EUR
TRARAYSG91O8,0,EUR
US02079K3059,10690,EUR
US046353AF58,10965,EUR
US06051GEU94,6595,EUR
US12543DAV29,11,EUR
US1266501006,11243,EUR
US14912L6B25,10972,EUR
US17275R1023,11754,EUR
US24422ESK63,11051,EUR
US345397XT59,6693,EUR
US3696041033,12707,EUR
US4385161066,10638,EUR
US45338FAC86,0,EUR
US4713152001,1760,EUR
US494550BV76,21307,EUR
US500769EQ30,10995,EUR
US500769HS68,111371,EUR
US5128071082,10096,EUR
US515110BP87,64610,EUR
US515110BT00,64411,EUR
US61746BDM54,6662,EUR
US651715AK02,0,EUR
US7427181091,14055,EUR
US74977SCA87,11432,EUR
US76127B2025,0,EUR
US871503AH15,22266,EUR
US88166HAD98,6374,EUR
US88166JAA16,10432,EUR
US89114QAV05,10970,EUR
US89153VAM19,10963,EUR
US961214CP61,6535,EUR
US98157D3044,4,EUR
US984121CD36,21243,EUR
USN45780CU01,10998,EUR
USU09513HF91,4397,EUR
USU2339CBT46,10931,EUR
USU2339CDE58,6527,EUR
USU31433AA03,23045,EUR
XS0097425226,316980,EUR
XS0098319758,422144,EUR
XS0099472994,132217,EUR
XS0099702317,395654,EUR
XS0101658499,252120,EUR
XS0101839792,50965,EUR
XS0102039962,500531,EUR
XS0102162657,15326,EUR
XS0102733234,178400,EUR
XS0102733317,622393,EUR
XS0103141353,351806,EUR
XS0104466510,777683,EUR
XS0114084436,270168,EUR
XS0114878233,74785,EUR
XS0118282481,138065,EUR
XS0118953529,396567,EUR
XS0119485885,147391,EUR
XS0126735660,413830,EUR
XS0132540955,342739,EUR
XS0132805762,396307,EUR
XS0136314415,78035,EUR
XS0138428684,41654,EUR
XS0140608398,123850,EUR
XS0140838474,941898,EUR
XS0140907626,407319,EUR
XS0144532701,60068,EUR
XS0144966453,0,EUR
XS0151153516,618556,EUR
XS0152588298,466116,EUR
XS0154563299,0,EUR
XS0158547827,0,EUR
XS0161100515,3319,EUR
XS0162513211,36474,EUR
XS0162519093,256099,EUR
XS0163624504,792048,EUR
XS0164166067,260456,EUR
XS0167530681,264115,EUR
XS0171435497,524526,EUR
XS0172365396,517986,EUR
XS0172661018,143986,EUR
XS0176748894,104240,EUR
XS0183944643,252,EUR
XS0184410040,265131,EUR
XS0185015541,88462,EUR
XS0186400403,316022,EUR
XS0186537295,210796,EUR
XS0186593793,0,EUR
XS0188934524,533358,EUR
XS0191410710,776354,EUR
XS0191415271,278050,EUR
XS0192503695,93934,EUR
XS0193333613,317161,EUR
XS0193640629,430863,EUR
XS0197646218,846480,EUR
XS0198112129,605644,EUR
XS0203755664,1213597,EUR
XS0203856181,596362,EUR
XS0205235491,7556,EUR
XS0205974701,337181,EUR
XS0206446725,367725,EUR
XS0207065110,16387,EUR
XS0208469923,13184,EUR
XS0212074388,602707,EUR
XS0212342579,0,EUR
XS0213026197,454039,EUR
XS0213737702,856055,EUR
XS0213899270,426619,EUR
XS0213972614,32856,EUR
XS0214845710,240022,EUR
XS0214965534,544778,EUR
XS0215269167,437970,EUR
XS0217039311,278056,EUR
XS0217459105,273485,EUR
XS0220644016,724903,EUR
XS0221470486,259108,EUR
XS0221500068,619990,EUR
XS0222383027,152388,EUR
XS0222474339,11252,EUR
XS0225119048,189602,EUR
XS0229789184,315703,EUR
XS0230588120,0,EUR
XS0231628578,234754,EUR
XS0232312479,0,EUR
XS0233584688,539115,EUR
XS0234526423,0,EUR
XS0236585856,714452,EUR
XS0239154643,299789,EUR
XS0243151346,322713,EUR
XS0244555131,196262,EUR
XS0247335309,323062,EUR
XS0250729109,761796,EUR
XS0251004098,2659637,EUR
XS0252108674,749840,EUR
XS0253410236,267523,EUR
XS0254356057,192196,EUR
XS0257275098,93298,EUR
XS0258836914,566852,EUR
XS0260981658,493764,EUR
XS0268648952,19,EUR
XS0270347304,282736,EUR
XS0273570241,279539,EUR
XS0277542790,600343,EUR
XS0287044969,57,EUR
XS0288429532,462938,EUR
XS0289011198,589662,EUR
XS0295018070,7486,EUR
XS0297741299,257400,EUR
XS0298899534,145678,EUR
XS0300113254,168966,EUR
XS0304145351,0,EUR
XS0306646042,16539,EUR
XS0306998823,0,EUR
XS0307745744,2788,EUR
XS0307792159,151780,EUR
XS0321318163,359655,EUR
XS0326006540,10210,EUR
XS0337685324,0,EUR
XS0341721453,0,EUR
XS0345023070,683901,EUR
XS0349975861,183144,EUR
XS0350890470,11020,EUR
XS0362093998,0,EUR
XS0365822435,79,EUR
XS0367001228,55850,EUR
XS0378976392,370938,EUR
XS0379575268,377969,EUR
XS0380365998,2549,EUR
XS0385688097,267005,EUR
XS0401891733,147894,EUR
XS0408948023,287076,EUR
XS0409749206,597234,EUR
XS0410605652,131000,EUR
XS0411850075,5415,EUR
XS0415624716,286767,EUR
XS0416848520,382329,EUR
XS0418678925,109387,EUR
XS0420558248,146601,EUR
XS0421765750,131197,EUR
XS0430266741,353428,EUR
XS0430609296,409360,EUR
XS0432071131,4452,EUR
XS0432405107,276478,EUR
XS0433028254,8803,EUR
XS0435015937,115895,EUR
XS0436314545,178072,EUR
XS0438844093,12322,EUR
XS0439828269,839229,EUR
XS0441116752,1152537,EUR
XS0442449939,183163,EUR
XS0444030646,184821,EUR
XS0445843526,753368,EUR
XS0447977801,13229,EUR
XS0449361350,26548,EUR
XS0451457435,5244,EUR
XS0452314536,353670,EUR
XS0452868788,312878,EUR
XS0453133950,206090,EUR
XS0453908377,180210,EUR
XS0456178580,668767,EUR
XS0456451771,131336,EUR
XS0458257796,291920,EUR
XS0458887030,26096,EUR
XS0459410782,174494,EUR
XS0462999573,203089,EUR
XS0465619376,53243,EUR
XS0468425615,28587,EUR
XS0469000144,262733,EUR
XS0470204172,511214,EUR
XS0471071133,52585,EUR
XS0474226635,87677,EUR
XS0478074924,1829632,EUR
XS0479542580,120968,EUR
XS0479696204,347694,EUR
XS0479869744,264632,EUR
XS0485316102,578051,EUR
XS0486101024,28502,EUR
XS0488101527,507696,EUR
XS0490013801,1193508,EUR
XS0491009659,896122,EUR
XS0493098486,120994,EUR
XS0494868630,236061,EUR
XS0494953820,32844,EUR
XS0495219874,13550,EUR
XS0496481200,668539,EUR
XS0496546853,52028,EUR
XS0497179035,6837,EUR
XS0497186758,137462,EUR
XS0497187640,9838,EUR
XS0498175503,204903,EUR
XS0498879658,16068,EUR
XS0499243300,108791,EUR
XS0500331557,1706329,EUR
XS0500397905,135759,EUR
XS0502286908,1838576,EUR
XS0503603267,367287,EUR
XS0503665290,16495,EUR
XS0506264315,321688,EUR
XS0507783123,2568,EUR
XS0514782746,2720,EUR
XS0519053184,344318,EUR
XS0519458755,264223,EUR
XS0519902851,20546,EUR
XS0520578096,126336,EUR
XS0520755488,68018,EUR
XS0521000975,81583,EUR
XS0521158500,274344,EUR
XS0522030310,516243,EUR
XS0522407351,13540,EUR
XS0524471355,61384,EUR
XS0525146907,163287,EUR
XS0525602339,2040531,EUR
XS0525787874,225240,EUR
XS0526606537,646173,EUR
XS0530592285,22490,EUR
XS0531922465,111264,EUR
XS0536189284,915431,EUR
XS0537711144,53353,EUR
XS0537943515,707050,EUR
XS0539944404,436260,EUR
XS0540564357,559878,EUR
XS0541453147,140511,EUR
XS0541498837,107557,EUR
XS0541620901,5512,EUR
XS0542593792,14044,EUR
XS0542950810,762139,EUR
XS0543111768,8383,EUR
XS0543354236,216367,EUR
XS0543370430,1181668,EUR
XS0543793318,265018,EUR
XS0544654162,8347,EUR
XS0544664989,817025,EUR
XS0548498343,434393,EUR
XS0548803757,8105,EUR
XS0550466469,13930,EUR
XS0551478844,1365386,EUR
XS0552375577,139239,EUR
XS0552915943,12938,EUR
XS0557252417,5376,EUR
XS0559275291,145923,EUR
XS0562852375,27048,EUR
XS0565154373,235251,EUR
XS0566792783,270569,EUR
XS0576532054,1018121,EUR
XS0576797947,254079,EUR
XS0577606725,325669,EUR
XS0579847673,43228,EUR
XS0580561545,1915788,EUR
XS0586094475,326121,EUR
XS0587952085,183624,EUR
XS0589642049,43015,EUR
XS0591428445,309817,EUR
XS0593606121,15222,EUR
XS0596704170,14359,EUR
XS0600056641,56974,EUR
XS0608326335,247573,EUR
XS0608392550,11604,EUR
XS0613145712,613925,EUR
XS0614401197,477735,EUR
XS0616578943,60613,EUR
XS0617251995,15408,EUR
XS0619437147,90629,EUR
XS0619548216,490228,EUR
XS0627188468,13281,EUR
XS0628132531,327734,EUR
XS0630644168,75234,EUR
XS0632659933,98329,EUR
XS0633025977,13651,EUR
XS0647298883,14477,EUR
XS0656522777,54497,EUR
XS0671362506,98047,EUR
XS0674396782,138761,EUR
XS0677081993,283613,EUR
XS0677817917,200570,EUR
XS0690406243,450188,EUR
XS0690623771,905833,EUR
XS0699618863,9170,EUR
XS0706229555,177124,EUR
XS0706261368,28895,EUR
XS0715437140,42270,EUR
XS0728783373,945372,EUR
XS0728812495,195155,EUR
XS0729046218,13000,EUR
XS0730678801,50385,EUR
XS0731129234,795536,EUR
XS0731681556,13003,EUR
XS0732513972,848336,EUR
XS0732522965,1075,EUR
XS0732631824,805824,EUR
XS0735918723,420117,EUR
XS0738895373,352041,EUR
XS0739982980,564072,EUR
XS0741137029,222677,EUR
XS0741295447,1709261,EUR
XS0743547183,1480616,EUR
XS0744125302,77909,EUR
XS0745896000,417083,EUR
XS0745915826,840411,EUR
XS0746010908,29444,EUR
XS0748187902,799814,EUR
XS0752092311,23257,EUR
XS0753143709,204660,EUR
XS0755239471,655560,EUR
XS0757372114,235024,EUR
XS0758419658,77471,EUR
XS0758420748,161518,EUR
XS0758640279,114859,EUR
XS0759200321,179968,EUR
XS0759310930,16751,EUR
XS0760187400,56524,EUR
XS0761713865,78090,EUR
XS0762737749,3447,EUR
XS0764637194,54988,EUR
XS0765298095,28339,EUR
XS0765299572,130752,EUR
XS0765448757,17246,EUR
XS0767278301,998953,EUR
XS0767706111,26014,EUR
XS0768664731,272125,EUR
XS0773050173,558941,EUR
XS0773219000,12963,EUR
XS0775914277,106765,EUR
XS0780267406,763606,EUR
XS0783933350,59806,EUR
XS0785340448,312057,EUR
XS0787527349,125652,EUR
XS0787786440,14233,EUR
XS0789283792,103415,EUR
XS0789996245,277639,EUR
XS0790011398,708278,EUR
XS0790015548,12826,EUR
XS0792977984,80480,EUR
XS0794392588,77683,EUR
XS0794570944,14149,EUR
XS0795877454,13862,EUR
XS0798790027,55250,EUR
XS0801079434,150724,EUR
XS0801436725,202128,EUR
XS0801636902,28118,EUR
XS0801654558,25753,EUR
XS0802174044,185411,EUR
XS0802638642,6472,EUR
XS0802738434,152735,EUR
XS0802756683,87284,EUR
XS0802953165,156276,EUR
XS0802995166,226493,EUR
XS0804217536,35863,EUR
XS0806449814,117691,EUR
XS0807706006,196702,EUR
XS0809847667,13652,EUR
XS0811124790,55106,EUR
XS0811690550,82492,EUR
XS0813400305,446754,EUR
XS0816704125,243299,EUR
XS0817639924,13605,EUR
XS0818524562,499970,EUR
XS0819130302,16858,EUR
XS0819759571,412106,EUR
XS0820547825,355342,EUR
XS0820867223,276122,EUR
XS0821168423,9595,EUR
XS0821175717,130262,EUR
XS0823975585,39474,EUR
XS0825855751,40038,EUR
XS0826189028,354381,EUR
XS0827597351,57319,EUR
XS0827692269,63616,EUR
XS0829114999,21969,EUR
XS0830444039,218507,EUR
XS0831425888,169230,EUR
XS0832466931,130172,EUR
XS0834367863,521091,EUR
XS0834371469,2342110,EUR
XS0834385923,458702,EUR
XS0834386228,76389,EUR
XS0835890350,13357,EUR
XS0840062979,217159,EUR
XS0842659426,15264,EUR
XS0847433561,331313,EUR
XS0847580353,196196,EUR
XS0854425625,59103,EUR
XS0854746343,145221,EUR
XS0854759080,81691,EUR
XS0856014583,120884,EUR
XS0856032213,55164,EUR
XS0856556807,116997,EUR
XS0857662448,243509,EUR
XS0857872500,8359,EUR
XS0858366684,13638,EUR
XS0858585051,6456,EUR
XS0860584308,143577,EUR
XS0862442331,152700,EUR
XS0862941506,13055,EUR
XS0862952297,84757,EUR
XS0864360358,445118,EUR
XS0866276800,1257060,EUR
XS0867612466,73442,EUR
XS0873432511,5286,EUR
XS0873665706,331403,EUR
XS0874351728,12970,EUR
XS0874840845,702872,EUR
XS0875263724,25380,EUR
XS0875796541,200724,EUR
XS0875797515,230964,EUR
XS0876678391,240951,EUR
XS0876828541,10545,EUR
XS0877622034,82436,EUR
XS0877984459,413568,EUR
XS0878743623,158924,EUR
XS0881362502,120637,EUR
XS0881369770,627957,EUR
XS0881511868,281610,EUR
XS0882849507,634903,EUR
XS0883614231,349300,EUR
XS0883966425,16275,EUR
XS0893212398,8078,EUR
XS0895249620,868509,EUR
XS0896119384,82823,EUR
XS0897406814,166841,EUR
XS0903136736,399565,EUR
XS0903531795,10530,EUR
XS0905658349,1979823,EUR
XS0906815088,23158,EUR
XS0906815591,660843,EUR
XS0906946008,11794,EUR
XS0906949523,437473,EUR
XS0908570459,192256,EUR
XS0909359332,580442,EUR
XS0909788290,210552,EUR
XS0910493419,2464,EUR
XS0911405784,130739,EUR
XS0911691003,74632,EUR
XS0918601989,77997,EUR
XS0920712600,20705,EUR
XS0922885362,20852,EUR
XS0924998809,150037,EUR
XS0925003732,196563,EUR
XS0925525510,413280,EUR
XS0925599556,29770,EUR
XS0926478628,22701,EUR
XS0928456218,30964,EUR
XS0933241456,174367,EUR
XS0933540527,761268,EUR
XS0933604943,7932,EUR
XS0934191114,51260,EUR
XS0934389221,50050,EUR
XS0934539726,87370,EUR
XS0934983999,94276,EUR
XS0935034651,554132,EUR
XS0935427970,1140117,EUR
XS0937853983,832823,EUR
XS0937858271,763866,EUR
XS0940293763,565507,EUR
XS0940332504,920143,EUR
XS0940697187,846200,EUR
XS0940750762,226263,EUR
XS0942081570,120907,EUR
XS0942094805,179599,EUR
XS0942100388,55785,EUR
XS0942388462,8325,EUR
XS0942965525,2129453,EUR
XS0943791722,135701,EUR
XS0944451243,98912,EUR
XS0944835734,12355,EUR
XS0944838241,5321,EUR
XS0950055359,562499,EUR
XS0951155869,145325,EUR
XS0951216083,36568,EUR
XS0951216166,659412,EUR
XS0951395317,157164,EUR
XS0951565091,749933,EUR
XS0953215349,32088,EUR
XS0953219416,211062,EUR
XS0953222550,44814,EUR
XS0953564191,1502031,EUR
XS0953783239,113312,EUR
XS0953958641,231994,EUR
XS0954025267,58095,EUR
XS0954302104,152650,EUR
XS0954928783,135588,EUR
XS0956580244,26065,EUR
XS0963174338,153202,EUR
XS0963375232,4480,EUR
XS0965050197,26326,EUR
XS0965065112,1028,EUR
XS0965489239,25728,EUR
XS0968316256,141302,EUR
XS0968433135,8398,EUR
XS0969344083,160137,EUR
XS0969368934,42115,EUR
XS0969523843,16887,EUR
XS0969572204,115108,EUR
XS0969636371,9111,EUR
XS0969846269,1562225,EUR
XS0970852348,524099,EUR
XS0972058175,13309,EUR
XS0972089568,25700,EUR
XS0972588643,26250,EUR
XS0973209421,34361,EUR
XS0974122516,2822,EUR
XS0974877150,106262,EUR
XS0975766295,78481,EUR
XS0975837146,5495,EUR
XS0975903112,13546,EUR
XS0976892611,8145,EUR
XS0979598462,297781,EUR
XS0981442931,5531,EUR
XS0981596819,50547,EUR
XS0981632804,206023,EUR
XS0981808933,130668,EUR
XS0982019126,29335,EUR
XS0982303785,79189,EUR
XS0982549197,12931,EUR
XS0982713330,10192,EUR
XS0982713686,13275,EUR
XS0983855924,813598,EUR
XS0984367077,27009,EUR
XS0985666436,2930992,EUR
XS0986194883,12684,EUR
XS0987169637,6540,EUR
XS0988014212,73562,EUR
XS0988446786,1686395,EUR
XS0989148209,50678,EUR
XS0990109240,13984,EUR
XS0991090175,13061,EUR
XS0991099630,432342,EUR
XS0992638220,28498,EUR
XS0993145084,80207,EUR
XS0993148856,253909,EUR
XS0993228294,145832,EUR
XS0993248052,167508,EUR
XS0993272862,25671,EUR
XS0993993921,7837,EUR
XS0996354956,134857,EUR
XS0997328066,78060,EUR
XS0997355036,295838,EUR
XS0997484430,416753,EUR
XS0997484943,93359,EUR
XS0997775837,14054,EUR
XS0999478372,127904,EUR
XS1001668950,144632,EUR
XS1001749107,13336,EUR
XS1001749289,483656,EUR
XS1003743827,449016,EUR
XS1004551294,97832,EUR
XS1014018045,1333394,EUR
XS1014610254,155610,EUR
XS1014627571,476178,EUR
XS1014673849,25505,EUR
XS1014704586,308936,EUR
XS1014759648,35870,EUR
XS1015217703,267647,EUR
XS1015339218,25669,EUR
XS1015884833,53110,EUR
XS1017833242,112707,EUR
XS1018032950,342027,EUR
XS1019821732,140097,EUR
XS1020295348,7690,EUR
XS1020769748,798164,EUR
XS1022812330,12741,EUR
XS1023268573,13214,EUR
XS1028411152,7971,EUR
XS1028421383,1149767,EUR
XS1028599287,8549,EUR
XS1028941117,102664,EUR
XS1028941893,298815,EUR
XS1028941976,18116,EUR
XS1028950290,10241,EUR
XS1028954870,108646,EUR
XS1028956149,21960,EUR
XS1028959671,7859,EUR
XS1028959754,5077,EUR
XS1030143447,8597,EUR
XS1030900242,30185,EUR
XS1031018911,63915,EUR
XS1031019562,27445,EUR
XS1032978345,133203,EUR
XS1032997568,26646,EUR
XS1033673440,158696,EUR
XS1033923142,12738,EUR
XS1033940740,159879,EUR
XS1034950672,177990,EUR
XS1034975406,635179,EUR
XS1036039433,25452,EUR
XS1036494638,6444,EUR
XS1037382535,10400,EUR
XS1038708522,7391,EUR
XS1039826422,719819,EUR
XS1040105980,78486,EUR
XS1040272533,13327,EUR
XS1040506898,429131,EUR
XS1040508167,4236,EUR
XS1041772986,138764,EUR
XS1041815116,228951,EUR
XS1041934800,169591,EUR
XS1043097630,531293,EUR
XS1045386494,329592,EUR
XS1045553812,14019,EUR
XS1046812712,9095,EUR
XS1047122665,473984,EUR
XS1047622987,73836,EUR
XS1048428442,5143,EUR
XS1048521733,274452,EUR
XS1048529041,567165,EUR
